60,ride,Star Wars Launch Bay,,Disneyland,Tomorrowland,T,0,30
61,ride,Star Wars: Rise of the Resistance,,Disneyland,Tomorrowland,T,40,60
62,ride,Storybook Land Canal Boats,,Disneyland,Fantasyland,T,0,45
63,ride,Tarzan's Treehouse,,Disneyland,Adventureland,T,0,30
64,ride,Toy Story Midway Mania!,,Disney California Adventure,Pixar Pier,T,0,45
65,ride,Turtle Talk with Crush,,Disney California Adventure,Hollywood Land,T,0,45
66,ride,Walt Disney's Enchanted Tiki Room,,Disneyland,Adventureland,T,0,45
67,pin_trade,Pin Trade for Mickey Mouse,,Any,Any,T,0,15
68,pin_trade,Pin Trade for Minnie Mouse,,Any,Any,T,0,15
69,pin_trade,Pin Trade for Donald Duck,,Any,Any,T,0,15
70,pin_trade,Pin Trade for Daisy Duck,,Any,Any,T,0,15
71,pin_trade,Pin Trade for Goofy,,Any,Any,T,0,15
72,pin_trade,Pin Trade for Pluto,,Any,Any,T,0,15
73,pin_trade,Pin Trade for A Princess,,Any,Any,T,0,15
74,pin_trade,Pin Trade for A Villian,,Any,Any,T,0,15
75,pin_trade,Pin Trade for A Starter Pin,,Any,Any,T,0,15
76,pin_trade,Pin Trade for A Hidden Mickey Pin,,Any,Any,T,0,15
77,pin_trade,Pin Trade for A Retro Pin,,Any,Any,T,0,15
78,pin_trade,Pin Trade for A Star Wars Light Side Pin,,Any,Any,T,0,15
79,pin_trade,Pin Trade for A Star Wars Dark Side Pin,,Any,Any,T,0,15
80,pin_trade,"Pin Trade on Main Street, U.S.A",,Disneyland,"Main Street, U.S.A.",T,0,15
81,pin_trade,Pin Trade in Tomorrowland,,Disneyland,Tomorrowland,T,0,15
82,pin_trade,Pin Trade in Fantasyland,,Disneyland,Fantasyland,T,0,15
83,pin_trade,Pin Trade in Mickey's Toon Town,,Disneyland,Mickey's Toon Town,T,0,15
84,pin_trade,Pin Trade in Frontierland,,Disneyland,Frontierland,T,0,15
85,pin_trade,Pin Trade in Adventureland,,Disneyland,Adventureland,T,0,15
86,pin_trade,Pin Trade in New Orleans Square,,Disneyland,New Orleans Square,T,0,15
87,pin_trade,Pin Trade in Critter Country,,Disneyland,Critter Country,T,0,15
88,pin_trade,Pin Trade in Galayxy's Edge,,Disneyland,Galaxy's Edge,T,0,15
89,pin_trade,Pin Trade in Buena Vista Street,,Disney California Adventure,Buena Vista Street,T,0,15
90,pin_trade,Pin Trade in Hollywood Land,i,Disney California Adventure,Hollywood Land,T,0,15
91,pin_trade,Pin Trade in Cars Land,,Disney California Adventure,Cars Land,T,0,15
92,pin_trade,Pin Trade in Grizzly Peak,,Disney California Adventure,Grizzly Peak,T,0,15
93,pin_trade,Pin Trade in Pacific Wharf,,Disney California Adventure,Pacific Wharf,T,0,15
94,pin_trade,Pin Trade in Paradise Gardens,,Disney California Adventure,Paradise Gardens,T,0,15
95,pin_trade,Pin Trade in Pixar Pier,,Disney California Adventure,Pixar Pier,T,0,15
96,character_meet,Meet Mickey Mouse,,Any,Any,T,0,30
97,character_meet,Meet Minnie Mouse,,Any,Any,T,0,30
98,character_meet,Meet Donald Duck,,Any,Any,T,0,30
99,character_meet,Meet Daisy Duck,,Any,Any,T,0,30
100,character_meet,Meet Goofy,,Any,Any,T,0,30
101,character_meet,Meet Pluto,,Any,Any,T,0,30
102,character_meet,Meet A Princess,,Any,Any,T,0,30
103,character_meet,Meet A Hero or Prince,,Any,Any,T,0,30
104,character_meet,Meet A Villian,,Any,Any,T,0,30
105,character_meet,Meet A Pirate,,Disneyland,New Orleans Square,T,0,30
106,character_meet,Meet A Member Of The First Order,,Disneyland,Galaxy's Edge,T,0,30
107,character_meet,Meet A Member Of The Resistance,,Disneyland,Galaxy's Edge,T,0,30
108,character_meet,Meet A Resident of the 100 Acre Woods,,Disneyland,Critter Country,T,0,30
109,character_meet,Meet A Toy From Toy Story,,Disney California Adventure,Any,T,0,30
110,character_meet,Meet A Super Hero,,Disney California Adventure,Any,T,0,30
111,character_meet,Meet Tinker Bell Or Any Pixie,,Disneyland,Any,T,0,30
112,character_meet,Meet Oswald The Lucky Rabbit,,Disney California Adventure,Any,T,0,30
113,character_meet,Meet A Resident of Wonderland,,Disneyland,Any,T,0,30
114,character_meet,Meet Someone Incredible,,Disney California Adventure,Any,T,0,30
115,character_meet,Meet A Citizion Of Radiator Springs,,Disney California Adventure,Any,T,0,30
116,character_meet,Meet An Avenger,,Disney California Adventure,Any,T,0,30
117,hidden_mickey,"Find A Hidden Mickey on Main Street, U.S.A.",,Disneyland,"Main Street, U.S.A.",T,0,30
118,hidden_mickey,Find A Hidden Mickey in Tomorrowland,,Disneyland,Tomorrowland,T,0,30
119,hidden_mickey,Find A Hidden Mickey in Fantasyland,,Disneyland,Fantasyland,T,0,30
120,hidden_mickey,Find A Hidden Mickey in Mickey's Toon Town,,Disneyland,MIckey's Toon Town,T,0,30
121,hidden_mickey,Find A Hidden Mickey in Frontierland,,Disneyland,Frontierland,T,0,30
122,hidden_mickey,Find A Hidden Mickey in Adventureland,,Disneyland,Adventureland,T,0,30
123,hidden_mickey,Find A Hidden Mickey in New Orleans Square,,Disneyland,New Orleans Square,T,0,30
124,hidden_mickey,Find A Hidden Mickey in Critter Country,,Disneyland,Critter Country,T,0,30
125,hidden_mickey,Find A Hidden Mickey in Galaxy's Edge,,Disneyland,Galaxy's Edge,T,0,30
126,hidden_mickey,Find A Hidden Mickey On Buena Vista Street,,Disney California Adventure,Buena Vista Street,T,0,30
127,hidden_mickey,Find A Hidden Mickey in Hollywood Land,,Disney California Adventure,Hollywood Land,T,0,30
128,hidden_mickey,Find A Hidden Mickey in Cars Land,,Disney California Adventure,Cars Land,T,0,30
129,hidden_mickey,Find A Hidden Mickey on Pacific Wharf,,Disney California Adventure,Pacific Wharf,T,0,30
130,hidden_mickey,Find A Hidden Mickey In Grizzly Peak,,Disney California Adventure,Grizzly Peak,T,0,30
131,hidden_mickey,Find A Hidden Mickey In Paradise Gardens,,Disney California Adventure,Paradise Gardens,T,0,30
132,hidden_mickey,Find A Hidden Mickey On Pixar Pier,,Disney California Adventure,Pixar Pier,T,0,30
133,hidden_mickey,Find A Hidden Mickey From The Disneyland Railroad,,Disneyland,Any,T,0,30
134,hidden_mickey,Find A Hidden Mickey From The Disneyland Monorail,,Disneyland,Any,T,0,30
135,hidden_mickey,Find A Hidden Mickey In the Haunted Mansion,,Disneyland,New Orleans Square,T,0,30
136,hidden_mickey,Find A Hidden Mickey in the Temple Of The Forbidden Eye,,Disneyland,Adventureland,T,0,30
137,hidden_mickey,Find A Hidden Mickey on the Jungle Cruise,,Disneyland,Adventureland,T,0,30
138,hidden_mickey,Find A Hidden Mickey in the Enchanted Tiki Room,,Disneyland,Adventureland,T,0,30
139,hidden_mickey,Find A Hidden Mickey on Splash Mountain,,Disneyland,Critter Country,T,0,30
140,hidden_mickey,Find A Hidden Mickey on It's A Small World,,Disneyland,Fantasyland,T,0,30
141,hidden_mickey,Find A Hidden Mickey Under The Seas With Nemo,,Disneyland,Tomorrowland,T,0,30
142,hidden_mickey,Find A Hidden Mickey in the Grotto of the Pirates of Caribbean,,Disneyland,New Orleans Square,T,0,30
143,hidden_mickey,Find A Hidden Mickey on Star Tours,,Disneyland,Tomorrowland,T,0,30
144,hidden_mickey,Find A Hidden Mickey While Fighting Zurg,,Disneyland,Tomorrowland,T,0,30
145,hidden_mickey,Find A Hidden While Rescusing Boo,,Disney California Adventure,Hollywood Land,T,0,30
146,hidden_mickey,Find A Hidden Mickey While Flying Over London,,Disneyland,Fantasyland,T,0,30
147,hidden_mickey,Find A Hidden Mickey Under The Seas With Ariel,,Disney California Adventure,Paradise Gardens,T,0,30
148,hidden_mickey,Find A Hidden Mickey while Soaring,,Disney California Adventure,Grizzly Peak,T,0,30
149,hidden_mickey,Find A Hidden Mickey From A Raft on Grizzly Peak,,Disney California Adventure,Grizzly Peak,T,0,30
150,hidden_mickey,Find A Hidden Mickey  On A Cookie On Pixar Pier,,Disney California Adventure,Pixar Pier,T,0,30
151,hidden_mickey,Find A Hidden Mickey From The Pixar Pal Around,,Disney California Adventure,Pixar Pier,T,0,30
152,hidden_mickey,Find A Hidden Mickey On The Bakery Tour,,Disney California Adventure,Pacific Wharf,T,0,30
153,hidden_mickey,Find A Hidden Mickey From The Pixar Pal Around,,Disney California Adventure,Pixar Pier,T,0,30
154,hidden_mickey,Find A Hidden Mickey On the Autopia Speedway,,Disneyland,Tomorrowland,T,0,30
155,hidden_mickey,Find A Hidden Mickey On Any Dark Ride,,Any,Any,T,0,30
156,hidden_mickey,Find A Hidden Mickey In The Swiss Alps,,Disneyland,Fantasyland,T,0,30
157,hidden_mickey,Find A Hidden Mickey On A Menu,,Any,Any,T,0,30
